#Dep	POS	Category	Pcategory	FCCategory	WORD	Sense	Arg1	Role	Arg2	Function	ضریب اطمینان
SBJ	o	ANM	A_T	o	o	o	parent	Agent	this	ActVerbEx	1
SBJ	o	ANM	A_N	o	o	o	parent	Agent	this	ActVerbEx	1
SBJ	o	ANM	PAS	o	o	o	parent	Patient	this	ActVerbEx	1
SBJ	o	ANM	A_T	o	o	o	parent	Agent	this	ActVerbEx	1
SBJ	o	ANM	A_N	o	o	o	parent	Agent	this	ActVerbEx	1
SBJ	o	ANM	PAS	o	o	o	parent	Patient	this	ActVerbEx	1
SBJ	o	OBJ	A_T	o	o	o	parent	Instrument	this	ActVerbEx	0.5
SBJ	o	OBJ	A_N	o	o	o	parent	Theme	this	ActVerbEx	0.4
SBJ	o	OBJ	PAS	o	o	o	parent	Theme	this	ActVerbEx	1
SBJ	o	ACT	A_T	o	o	o	parent	Theme	this	o	1
SBJ	o	ACT	PAS	o	o	o	parent	Theme	this	o	1
SBJ	o	LOC	A_T	o	o	o	parent	Agent	this	ActVerbEx	1
SBJ	o	LOC	A_N	o	o	o	parent	Agent	this	ActVerbEx	1
SBJ	o	LOC	PAS	o	o	o	parent	Theme	this	ActVerbEx	1
SBJ	o	TIME	A_T	o	o	o	firstchild	Cause	this	o	0.4
SBJ	o	TIME	A_N	o	o	o	parent	Theme	this	o	0.9
SBJ	o	TIME	PAS	o	o	o	parent	Theme	this	ActVerbEx	1
o	o	I_PER	o	o	o	o	this	o	parent	CompoundPrevious	1
o	o	I_TIME	o	o	o	o	this	o	parent	CompoundPrevious	1
o	o	I_ORG	o	o	o	o	this	o	parent	CompoundPrevious	1
o	o	I_LOC	o	o	o	o	this	o	parent	CompoundPrevious	1
o	o	I_ANM	o	o	o	o	this	o	parent	CompoundPrevious	1
VPRT	o	o	o	o	o	o	this	firstchild	parent	Compound3	1
NVE	o	o	o	o	o	o	this	o	parent	Compound2_V	1
LVP	o	o	o	o	o	o	NVE	this	parent	Compound3_V	1
PROG	o	o	o	o	o	o	this	o	parent	Compound2_V	1
OBJ2	o	o	o	o	o	o	this	o	parent	Compound2_V	1
ENC	o	o	o	o	o	o	this	o	parent	Compound2_V	1
NE	o	o	o	o	o	o	this	o	parent	Compound2_V	1
NPRT	o	o	o	o	o	o	this	firstchild	parent	Compound3_V	1
NCL	o	o	ANM	A_T	که،تا	o	firstchild	Agent	parent	ActVerbEx	1
NCL	o	o	ANM	A_N	که،تا	o	firstchild	Agent	parent	ActVerbEx	1
NCL	o	o	ANM	PAS	که،تا	o	firstchild	Agent	parent	ActVerbEx	1
NCL	o	o	OBJ	A_T	که،تا	o	firstchild	Instrument	parent	ActVerbEx	1
NCL	o	o	OBJ	A_N	که،تا	o	firstchild	Theme	parent	o	0.6
NCL	o	o	OBJ	PAS	که،تا	o	firstchild	Theme	parent	ActVerbEx	0.5
NCL	o	o	ACT	A_T	که،تا	o	firstchild	Cause	parent	o	0.6
NCL	o	o	ACT	A_N	که،تا	o	firstchild	Theme	parent	o	0.4
NCL	o	o	ACT	PAS	که،تا	o	firstchild	Theme	parent	ActVerbEx	1
NCL	o	o	LOC	A_T	که،تا	o	firstchild	Agent	parent	ActVerbEx	1
NCL	o	o	LOC	A_N	که،تا	o	firstchild	Agent	parent	ActVerbEx	1
NCL	o	o	LOC	PAS	که،تا	o	firstchild	Place	parent	ActVerbEx	1
NCL	o	o	o	o	که،تا	o	firstchild	Theme	parent	o	0.6
NCL	o	o	o	o	o	o	this	Theme	parent	o	1
OBJ	o	o	o	ANM	را	o	parent	Patient	firstchild	o	1
OBJ	o	o	o	OBJ	را	o	parent	Theme	firstchild	o	1
OBJ	o	o	o	ACT	را	o	parent	Theme	firstchild	o	1
OBJ	o	o	o	LOC	را	o	parent	Place	firstchild	o	1
OBJ	o	o	o	TIME	را	o	parent	Theme	firstchild	o	1
OBJ	o	ANM	o	o	o	o	parent	Patient	this	o	0.95
