#Dep	POS	Category	Pcategory	FCCategory	WORD	Sense	Arg1	Role	Arg2	Function
SBJ	o	ANM	A_T	o	o	o	parent	Agent	this	ActVerbEx
SBJ	o	ANM	A_N	o	o	o	parent	Agent	this	ActVerbEx
SBJ	o	ANM	PAS	o	o	o	parent	Patient	this	ActVerbEx
SBJ	o	I_ANM	A_T	o	o	o	parent	Agent	this	ActVerbEx
SBJ	o	I_ANM	A_N	o	o	o	parent	Agent	this	ActVerbEx
SBJ	o	I_ANM	PAS	o	o	o	parent	Patient	this	ActVerbEx
SBJ	o	OBJ	A_T	o	o	o	parent	Instrument	this	ActVerbEx
SBJ	o	OBJ	A_N	o	o	o	parent	Theme	this	ActVerbEx
SBJ	o	OBJ	PAS	o	o	o	parent	Theme	this	ActVerbEx
SBJ	o	ACT	A_T	o	o	o	parent	Cause	this	o
SBJ	o	ACT	A_N	o	o	o	parent	Theme	this	o
SBJ	o	ACT	PAS	o	o	o	parent	Theme	this	o
SBJ	o	LOC	A_T	o	o	o	parent	Agent	this	ActVerbEx
SBJ	o	LOC	A_N	o	o	o	parent	Agent	this	ActVerbEx
SBJ	o	LOC	PAS	o	o	o	parent	Place	this	ActVerbEx
SBJ	o	TIME	A_T	o	o	o	firstchild	Cause	this	o
SBJ	o	TIME	A_N	o	o	o	parent	Theme	this	o
SBJ	o	TIME	PAS	o	o	o	parent	Theme	this	ActVerbEx
o	o	I_PER	o	o	o	o	this	o	parent	CompoundPrevious
o	o	I_TIME	o	o	o	o	this	o	parent	CompoundPrevious
o	o	I_ORG	o	o	o	o	this	o	parent	CompoundPrevious
o	o	I_LOC	o	o	o	o	this	o	parent	CompoundPrevious
o	o	I_ANM	o	o	o	o	this	o	parent	CompoundPrevious
VPRT	o	o	o	o	o	o	this	firstchild	parent	Compound3
NVE	o	o	o	o	o	o	this	o	parent	Compound2
LVP	o	o	o	o	o	o	NVE	this	parent	Compound3
PROG	o	o	o	o	o	o	this	o	parent	Compound2
OBJ2	o	o	o	o	o	o	this	o	parent	Compound2
ENC	o	o	o	o	o	o	this	o	parent	Compound2
NE	o	o	o	o	o	o	this	o	parent	Compound2
NPRT	o	o	o	o	o	o	this	firstchild	parent	Compound3
NCL	o	o	ANM	A_T	که،تا	o	firstchild	Agent	parent	ActVerbEx
NCL	o	o	ANM	A_N	که،تا	o	firstchild	Agent	parent	ActVerbEx
NCL	o	o	ANM	PAS	که،تا	o	firstchild	Agent	parent	ActVerbEx
NCL	o	o	OBJ	A_T	که،تا	o	firstchild	Instrument	parent	ActVerbEx
NCL	o	o	OBJ	A_N	که،تا	o	firstchild	Theme	parent	o
NCL	o	o	OBJ	PAS	که،تا	o	firstchild	Theme	parent	ActVerbEx
NCL	o	o	ACT	A_T	که،تا	o	firstchild	Cause	parent	o
NCL	o	o	ACT	A_N	که،تا	o	firstchild	Theme	parent	o
NCL	o	o	ACT	PAS	که،تا	o	firstchild	Theme	parent	ActVerbEx
NCL	o	o	LOC	A_T	که،تا	o	firstchild	Agent	parent	ActVerbEx
NCL	o	o	LOC	A_N	که،تا	o	firstchild	Agent	parent	ActVerbEx
NCL	o	o	LOC	PAS	که،تا	o	firstchild	Place	parent	ActVerbEx
NCL	o	o	o	o	که،تا	o	firstchild	Theme	parent	o
NCL	o	o	o	o	o	o	parent	Theme	this	o
OBJ	o	o	o	ANM	را	o	parent	Patient	firstchild	o
OBJ	o	o	o	OBJ	را	o	parent	Theme	firstchild	o
OBJ	o	o	o	ACT	را	o	parent	Theme	firstchild	o
OBJ	o	o	o	LOC	را	o	parent	Place	firstchild	o
OBJ	o	o	o	TIME	را	o	parent	Theme	firstchild	o
OBJ	o	ANM	o	o	o	o	parent	Patient	this	o
OBJ	o	OBJ	o	o	o	o	parent	Theme	this	o
OBJ	o	ACT	o	o	o	o	parent	Theme	this	o
OBJ	o	LOC	o	o	o	o	parent	Place	this	o
OBJ	o	TIME	o	o	o	o	parent	Theme	this	o
VPP	o	o	o	ANM	o	o	parent	Patient	firstchild	o
VPP	o	o	o	OBJ	o	o	parent	Theme	firstchild	o
VPP	o	o	o	ACT	o	o	parent	Theme	firstchild	o
VPP	o	o	o	LOC	از	o	parent	StartPlace	firstchild	o
VPP	o	o	o	LOC	به،تا	o	parent	EndPlace	firstchild	o
VPP	o	o	o	LOC	با،برای،علیه،درباره	o	parent	Theme	firstchild	o
VPP	o	o	o	LOC	o	o	parent	Place	firstchild	o
VPP	o	o	o	TIME	از	o	parent	StartTime	firstchild	o
VPP	o	o	o	TIME	تا	o	parent	EndTime	firstchild	o
VPP	o	o	o	TIME	o	o	parent	Time	firstchild	o
VPP	PREP	o	o	o	o	o	this	firstchild	parent	Compound3
ADVC	o	LOC	o	o	o	o	parent	Place	this	o
ADVC	o	TIME	o	o	o	o	parent	Time	this	o
ADVC	o	o	o	o	o	o	parent	o	this	CheckType
VCL	CONJ	o	o	o	o	o	parent	Theme	firstchild	o
VCL	SUBR	o	o	o	o	o	parent	Theme	firstchild	o
VCL	o	o	o	o	o	o	parent	Theme	this	o
MOS	ADJ	o	o	o	o	o	this	o	parent	Compound2
MOS	o	o	o	o	o	o	OBJ	Description	this	o
MOS	o	o	o	o	o	o	SBJ	Description	this	o
MOS	PREP	o	o	o	o	o	this	firstchild	parent	Compound3
MOS	o	o	o	o	o	o	this	o	parent	Compound2
TAM	N	o	o	o	o	o	OBJ	Description	this	o
TAM	N	o	o	o	o	o	SBJ	Description	this	o
TAM	o	o	o	o	o	o	this	o	parent	Compound2
ADV	o	o	o	ANM	در،داخل	o	parent	Patient	firstchild	o
ADV	o	o	o	LOC	در،داخل	o	parent	Place	firstchild	o
ADV	o	ANM	o	o	به وسیله،با،توسط	o	parent	Agent	this	o
ADV	o	ANM	o	o	o	o	parent	Patient	this	o
ADV	o	OBJ	o	o	از طریق،به وسیله،توسط	o	parent	Instrument	this	o
ADV	o	ACT	o	o	از طریق،به وسیله،توسط	o	parent	Cause	this	o
